Ruy López de Segura
Leonardo di Bona
Paolo Boi
Alessandro Salvio
Gioachino Greco
Legall de Kermeur
François-André Danican Philidor
Alexandre Deschapelles
Louis-Charles Mahé de La Bourdonnais
Howard Staunton
Adolf Anderssen
Paul Morphy
Adolf Anderssen
Wilhelm Steinitz
Johannes Zukertort
Garry Kasparov
Vladimir Kramnik
Anatoly Karpov
Alexander Khalifman
Viswanathan Anand
Ruslan Ponomariov
Rustam Kasimdzhanov
Veselin Topalov
Emanuel Lasker
Garry Kasparov
Anatoly Karpov
Mikhail Botvinnik
Viswanathan Anand
Alexander Alekhine
Wilhelm Steinitz
Magnus Carlsen
Vladimir Kramnik
Tigran Petrosian
José Raúl Capablanca
Boris Spassky
Bobby Fischer
Max Euwe
Vasily Smyslov
Mikhail Tal
Ruslan Ponomariov
Alexander Khalifman
Rustam Kasimdzhanov
Veselin Topalov
Wilhelm Steinitz
Emanuel Lasker
José Raúl Capablanca
Alexander Alekhine
Max Euwe
Alexander Alekhine
Mikhail Botvinnik
Vasily Smyslov
Mikhail Botvinnik
Mikhail Tal
Mikhail Botvinnik
Tigran Petrosian
Boris Spassky
Bobby Fischer
Anatoly Karpov
Garry Kasparov
