Willie Park Sr.
Tom Morris Sr.
Tom Morris Sr.
Willie Park Sr.
Tom Morris Sr.
Andrew Strath
Willie Park Sr.
Tom Morris Sr.
Tom Morris Jr.
Tom Morris Jr.
Tom Morris Jr.
Tom Morris
Tom Kidd
Mungo Park
Willie Park
Bob Martin
Jamie Anderson
Jamie Anderson
Jamie Anderson
Bob Ferguson
Bob Ferguson
Bob Ferguson
Willie Fernie
Jack Simpson
Bob Martin
David Brown
Willie Park Jr.
Jack Burns
Willie Park Jr.
John Ball
Hugh Kirkaldy
Harold Hilton
William Auchterlonie
John Henry Taylor
John Henry Taylor
Harry Vardon
Harold Hilton
Harry Vardon
Harry Vardon
John Henry Taylor
James Braid
Sandy Herd
Harry Vardon
Jack White
James Braid
James Braid
Arnaud Massy
James Braid
John Henry Taylor
James Braid
Harry Vardon
Ted Ray
John Henry Taylor
Harry Vardon
George Duncan
Jock Hutchison
Walter Hagen
Arthur Havers
Walter Hagen
Jim Barnes
Bobby Jones
Bobby Jones
Walter Hagen
Walter Hagen
Bobby Jones
Tommy Armour
Gene Sarazen
Denny Shute
Henry Cotton
Alf Perry
Alf Padgham
Henry Cotton
Reg Whitcombe
Dick Burton
Sam Snead
Fred Daly
Henry Cotton
Bobby Locke
Bobby Locke
Max Faulkner
Bobby Locke
Ben Hogan
Peter Thomson
Peter Thomson
Peter Thomson
Bobby Locke
Peter Thomson
Gary Player
Kel Nagle
Arnold Palmer
Arnold Palmer
Bob Charles
Tony Lema
Peter Thomson
Jack Nicklaus
Roberto De Vicenzo
Gary Player
Tony Jacklin
Jack Nicklaus
Lee Trevino
Lee Trevino
Tom Weiskopf
Gary Player
Tom Watson
Johnny Miller
Tom Watson
Jack Nicklaus
Seve Ballesteros
Tom Watson
Bill Rogers
Tom Watson
Tom Watson
Seve Ballesteros
Sandy Lyle
Greg Norman
Nick Faldo
Seve Ballesteros
Mark Calcavecchia
Nick Faldo
Ian Baker-Finch
Nick Faldo
Greg Norman
Nick Price
John Daly
Tom Lehman
Justin Leonard
Mark O'Meara
Paul Lawrie
Tiger Woods
David Duval
Ernie Els
Ben Curtis
Todd Hamilton
Tiger Woods
Tiger Woods
Pádraig Harrington
Pádraig Harrington
Stewart Cink
Louis Oosthuizen
Darren Clarke
Ernie Els
Phil Mickelson
Rory McIlroy
Zach Johnson
Henrik Stenson
Jordan Spieth
Francesco Molinari
Shane Lowry
