John Antoine Nau
Léon Frapié
Claude Farrère
Jean Tharaud
Jérôme Tharaud
Émile Moselly
Francis de Miomandre
Marius-Ary Leblond
Louis Pergaud
Alphonse de Châteaubriant
André Savignon
Marc Elder
Adrien Bertrand
René Benjamin
Henri Barbusse
Henry Malherbe
Georges Duhamel
Marcel Proust
Ernest Pérochon
René Maran
Henri Béraud
Lucien Fabre
Thierry Sandre
Maurice Genevoix
Henri Deberly
Maurice Bedel
Maurice Constantin-Weyer
Marcel Arland
H. Fauconnier
Jean Fayard
Guy Mazeline
André Malraux
Roger Vercel
Joseph Peyre
Maxence Van Der Meersch
Charles Plisnier
Henri Troyat
Philippe Hériat
Francis Ambrière
Henri Pourrat
Marc Bernard
Marius Grout
Elsa Triolet
Jean-Louis Bory
Jean-Jacques Gautier
Jean-Louis Curtis
Maurice Druon
Robert Merle
Paul Colin
Julien Gracq
Béatrix Beck
Pierre Gascar
Simone de Beauvoir
Roger Ikor
Romain Gary
Roger Vailland
Francis Walder
André Schwarz-Bart
Vintilă Horia
Jean Cau
Anna Langfus
Armand Lanoux
Georges Conchon
Jacques Borel
Edmonde Charles-Roux
André Pieyre de Mandiargues
Bernard Clavel
Félicien Marceau
Michel Tournier
Jacques Laurent
Jean Carrière
Jacques Chessex
Pascal Lainé
Émile Ajar
Patrick Grainville
Didier Decoin
Patrick Modiano
Antonine Maillet
Yves Navarre
Lucien Bodard
Dominique Fernandez
Frédérick Tristan
Marguerite Duras
Yann Queffélec
Michel Host
Tahar Ben Jelloun
Érik Orsenna
Jean Vautrin
Jean Rouaud
Pierre Combescot
Patrick Chamoiseau
Amin Maalouf
Didier Van Cauwelaert
Andreï Makine
Pascale Roze
Patrick Rambaud
Paule Constant
Jean Echenoz
Jean-Jacques Schuhl
Jean-Christophe Rufin
Pascal Quignard
Jacques-Pierre Amette
Laurent Gaudé
François Weyergans
Jonathan Littell
Gilles Leroy
Atiq Rahimi
Marie NDiaye
Michel Houellebecq
Alexis Jenni
Jérôme Ferrari
Pierre Lemaitre
Lydie Salvayre
Mathias Énard
Leïla Slimani
Éric Vuillard
Nicolas Mathieu
Jean-Paul Dubois
