Malcolm Morley
Howard Hodgkin
Gilbert and George
Richard Deacon
Tony Cragg
Richard Long
Anish Kapoor
Grenville Davey
Rachel Whiteread
Antony Gormley
Damien Hirst
Douglas Gordon
Gillian Wearing
Chris Ofili
Steve McQueen
Wolfgang Tillmans
Martin Creed
Keith Tyson
Grayson Perry
Jeremy Deller
Simon Starling
Tomma Abts
Mark Wallinger
Mark Leckey
Richard Wright
Susan Philipsz
Martin Boyce
Elizabeth Price
Laure Prouvost
Duncan Campbell
Assemble
Helen Marten
Lubaina Himid
Charlotte Prodger
Lawrence Abu Hamdan
Helen Cammock
Tai Shani
Oscar Murillo
